urls,names
https://olympics.com/pt/noticias/wimbledon-tenistas-branco-grand-slam-na-grama,wimbledon-tenistas-branco-grand-slam-na-grama
https://olympics.com/pt/noticias/miguel-hidalgo-triatlo-perfil-paris-2024,miguel-hidalgo-triatlo-perfil-paris-2024
https://olympics.com/pt/noticias/diogo-soares-ginasta-completo-busca-evoluir,diogo-soares-ginasta-completo-busca-evoluir
https://olympics.com/pt/noticias/franca-fiji-ouro-rugby-sevens-jogos-olimpicos,franca-fiji-ouro-rugby-sevens-jogos-olimpicos
https://olympics.com/pt/noticias/barbara-domingos-ginastica-ritmica-perfil,barbara-domingos-ginastica-ritmica-perfil
https://olympics.com/pt/noticias/barbara-domingos-final-individual-ginastica-ritmica-paris-2024,barbara-domingos-final-individual-ginastica-ritmica-paris-2024
https://olympics.com/pt/noticias/stephan-barcha-quinto-saltos-hipismo-paris-2024,stephan-barcha-quinto-saltos-hipismo-paris-2024
https://olympics.com/pt/noticias/paola-reis-unica-representante-brasil-bmx-racing-paris-2024,paola-reis-unica-representante-brasil-bmx-racing-paris-2024
https://olympics.com/pt/noticias/canoagem-velocidade-jogos-olimpicos-paris-2024-horario-assistir-isaquias-queiroz-c1,canoagem-velocidade-jogos-olimpicos-paris-2024-horario-assistir-isaquias-queiroz-c1
https://olympics.com/pt/noticias/bia-ferreira-bronze-semifinal-boxe-jogos-olimpicos-paris-2024,bia-ferreira-bronze-semifinal-boxe-jogos-olimpicos-paris-2024
https://olympics.com/pt/noticias/jogos-olimpicos-paris-2024-uniformes-brasil,jogos-olimpicos-paris-2024-uniformes-brasil
https://olympics.com/pt/noticias/henrique-marques-risco-parar-pai-paris-2024,henrique-marques-risco-parar-pai-paris-2024
https://olympics.com/pt/noticias/bia-ferreira-perfil-historia-boxe-jogos-olimpicos,bia-ferreira-perfil-historia-boxe-jogos-olimpicos
https://olympics.com/pt/noticias/skate-street-jogos-olimpicos-paris-2024-horario-assistir-disputa-masculina,skate-street-jogos-olimpicos-paris-2024-horario-assistir-disputa-masculina
